item,itemLabel,itemDesc,siteLinks
Q7197,Simone de Beauvoir,"French philosopher, social theorist and activist",166
Q34660,J. K. Rowling,British author and philanthropist,166
Q23530,Dmitry Medvedev,President of Russia from 2008 to 2012,165
Q9671,Michael Schumacher,German racing driver,165
Q5603,Andy Warhol,"American artist, film director, and producer",164
Q15031,Xi Jinping,General Secretary of the Chinese Communist Party since 2012,164
Q36153,Beyoncé,American singer,164
Q8877,Steven Spielberg,American filmmaker,162
Q17293,Tenzin Gyatso,14th Dalai Lama,162
Q1316,Saddam Hussein,"Iraqi president, army officer and Baathist politician",161
Q13909,Angelina Jolie,American actress,160
Q1058,Narendra Modi,14th Prime Minister of India,160
Q2908,Antoine de Saint-Exupéry,French writer and aviator,160
Q1779,Louis Armstrong,American jazz trumpeter and singer,160
Q1149,Indira Gandhi,3rd Prime Minister of India,159
Q8006,Akira Kurosawa,Japanese filmmaker,159
Q83338,Robin Williams,American actor and comedian,158
Q11860,Silvio Berlusconi,Italian politician and media tycoon,158
Q34189,Pablo Neruda,Chilean poet and politician,158
Q132345,Shinzō Abe,Prime Minister of Japan from 2006–2007 and 2012–2020,158
Q8753,Enrico Fermi,Italian-American physicist,158
Q83287,Selena Gomez,American singer and actress,157
Q4583,Anne Frank,German-born Dutch Jewish diarist and Holocaust victim,157
Q36740,Aung San Suu Kyi,Former State Counsellor of Myanmar and Leader of the National League for Democracy,156
Q409,Bob Marley,Jamaican reggae musician,156
Q34981,Isaac Asimov,American writer and biochemist,155
Q36215,Mark Zuckerberg,American internet entrepreneur,155
Q34453,Boris Yeltsin,"Soviet and Russian politician, 1st President of Russia",154
Q36970,Jackie Chan,"Hong Kong actor, singer and martial artist",154
Q34012,Marlon Brando,American actor,154
Q25089,Woody Allen,"American film director, writer, actor, and comedian",154
Q1426,Roger Federer,Swiss tennis player,154
Q7176,Naguib Mahfouz,Egyptian writer,153
Q2105,Jacques Chirac,President of France from 1995 to 2007,152
Q43274,Charles III of the United Kingdom,King of the United Kingdom since 2022,151
Q34474,Aleksandr Solzhenitsyn,Russian writer and historian,151
Q39246,Richard Feynman,American theoretical physicist,151
Q7546,Ingmar Bergman,Swedish director and screenwriter,151
Q1253,Ban Ki-moon,8th Secretary-General of the United Nations,150
Q6105,Hebe Camargo,"Brazilian recording artist, television host, singer",150
Q9545,Tony Blair,Prime Minister of the United Kingdom from 1997 to 2007,150
Q10853588,Kamala Harris,vice president of the United States since 2021,149
Q43723,Benjamin Netanyahu,Prime Minister of Israel,149
Q5812,Novak Djokovic,Serbian tennis player,149
Q10132,Rafael Nadal,Spanish tennis player,149
Q34253,Linus Torvalds,Finnish-American software engineer,148
Q12807,Umberto Eco,"Italian semiotician, essayist, philosopher, literary critic, and novelist",148
Q80,Tim Berners-Lee,"English computer scientist, inventor of the World Wide Web",148
Q2685,Arnold Schwarzenegger,"Austrian and American actor, bodybuilder, and politician",148
Q16397,Bruce Lee,Hong Kong and American martial artist and actor,148
Q180589,Boris Johnson,Prime Minister of the United Kingdom from 2019 to 2022,147
Q34479,Hirohito,Emperor of Japan from 1926 to 1989,147
Q38111,Leonardo DiCaprio,American actor and film producer,147
Q2866,Alexander Lukashenko,President of Belarus since 1994,146
Q7371,Federico Fellini,Italian filmmaker,146
Q5105,Céline Dion,Canadian singer,146
Q44301,Jim Morrison,American singer; lead vocalist of The Doors,146
Q192,David Cameron,British politician,146
Q1362169,Agnez Mo,Indonesian singer and actress,146
Q221310,Anggun,Indonesian-born French singer-songwriter and television personality,145
Q2599,Paul McCartney,"British rock musician, former member of The Beatles and Wings",144
Q37181,Luiz Inácio Lula da Silva,President of Brazil,144
Q34436,Scarlett Johansson,American actress,144
Q34211,Yasser Arafat,Palestinian political leader,143
Q35332,Brad Pitt,American actor and filmmaker,143
Q855252,Bhumibol Adulyadej,King of Thailand,143
Q11637,Judy Garland,American actress and singer,143
Q1631,Édith Piaf,French singer,143
Q34448,Mahmoud Ahmadinejad,6th President of Iran from 2005 to 2013,142
Q37175,Johnny Depp,American actor,141
Q26876,Taylor Swift,American singer-songwriter,141
Q39212,John Steinbeck,American writer,141
Q2001,Stanley Kubrick,American filmmaker,141
Q32732,Malala Yousafzai,Pakistani children's education activist,141
Q36844,Rihanna,Barbadian singer and actress,141
Q8620,Kwame Nkrumah,Ghanaian pan-Africanist and the first Prime Minister and President of Ghana,141
Q39829,Stephen King,American writer,140
Q4573,Sean Connery,Scottish actor,140
Q264766,Theresa May,Prime Minister of the United Kingdom from 2016 to 2019,140
Q10707,Robert Mugabe,2nd president of Zimbabwe from 1987 to 2017,138
Q2185,Georges Pompidou,President of France from 1969 to 1974,138
Q36949,Robert De Niro,American actor,138
Q7439,Richard Stallman,"American software freedom activist, short story writer and computer programmer, founder of the GNU project",138
Q56434717,Greta Thunberg,Swedish climate protection activist,137
Q37327,Samuel Beckett,Nobel-winning Irish writer,137
Q410,Carl Sagan,"American astrophysicist, cosmologist and author",137
Q36268,Brigitte Bardot,"French animal rights activist, former actress and singer",137
Q34424,Shakira,"Colombian singer, songwriter and actress",137
Q34105,Hosni Mubarak,President of Egypt from 1981 to 2011,137
Q11975,Britney Spears,American singer and songwriter,136
Q1463,Ferdinand Marcos,President of the Philippines from 1965 to 1986,136
Q765165,Leonid Brezhnev,General Secretary of the Communist Party of the Soviet Union,135
Q9685,"Diana, Princess of Wales",member of the British royal family; first wife of Charles III,135
Q42786,Audrey Hepburn,Belgian-born British actress and model,135
Q30449,Avril Lavigne,Canadian singer,135
Q1835,Zinedine Zidane,French football manager,135
Q44329,Bashar al-Assad,President of Syria since 2000,134
Q34413,Benazir Bhutto,11th and 13th Prime Minister of Pakistan,134
Q39476,Emma Watson,English actress and activist,134
Q47213,Warren Buffett,"American investor, entrepreneur and businessman",133
Q41163,Al Pacino,American actor,133
Q359442,Bernie Sanders,American politician and activist,133
Q6538,Günter Grass,"German novelist, poet, playwright, illustrator, graphic artist, and sculptor",133
Q37060,José Saramago,Portuguese novelist,132
Q234679,Charlotte Rampling,British actress,132
Q241248,Orhan Pamuk,Turkish novelist,132
Q36233,Václav Havel,"Czech statesman, playwright, and former dissident, the last president of Czechoslovakia and the first president of the Czech Republic",132
Q1189,Usain Bolt,Jamaican sprinter,132
Q32927,Valery Leontiev,Soviet and Russian singer,132
Q205707,Bradley Cooper,American actor,132
Q1276,Leonard Cohen,Canadian poet and singer-songwriter,131
Q41421,Michael Jordan,American basketball player and businessman,131
Q360,Julian Assange,"Australian editor, publisher, and activist",131
Q44461,Richard Dawkins,"English ethologist, evolutionary biologist and author",130
Q34851,Elizabeth Taylor,British-American actress,130
Q40904,Werner Heisenberg,German theoretical physicist and nobel prize winner,130
Q19526,Maya Angelou,"American poet, author, and civil rights activist",130
Q12881,Paulo Coelho,Brazilian lyricist and novelist,129
Q34389,Whitney Houston,American singer and actress,129
Q5383,David Bowie,English musician and actor,129
Q2038,François Mitterrand,21st President of the French Republic from 1981 to 1995,129
Q33817,Edmund Hillary,New Zealand mountaineer and philanthropist,129
Q10520,David Beckham,English association football player,129
Q40722,Dilma Rousseff,President of Brazil from 2011 to 2016,129
Q43303,Malcolm X,American human rights activist,129
Q2263,Tom Hanks,American actor and film producer,129
Q40874,Doris Lessing,"British novelist, poet, playwright, librettist, biographer and short story writer",128
Q38222,George Lucas,American filmmaker,128
Q82110,Steven Seagal,"American actor, martial artist, and film producer",127
Q4235,Miley Cyrus,"American singer, actress, and television personality",127
Q37459,Nicole Kidman,"Australian-American actress, producer, and model",127
Q10390,John McCain,American politician and military officer,127
Q23365,Jeremy Renner,"American actor, producer, and musician",127
Q151892,Ariana Grande,American singer and actress,127
Q43203,Clint Eastwood,American actor and film director,127
Q5928,Jimi Hendrix,American guitarist,127
Q40715,Jennifer Lopez,American singer and actress,127
Q40912,Frank Sinatra,American singer and actor,126
Q47426,Milton Friedman,American economist and statistician,126
Q19673,Al Gore,Vice President of the United States from 1993 to 2001,126
Q3099714,Justin Trudeau,Prime Minister of Canada since 2015,126
Q20055561,Rishi Sunak,Prime Minister of the United Kingdom since 2022,126
Q40096,Will Smith,American actor and rapper,126
Q2518,Helmut Kohl,Chancellor of West Germany and reunified Germany,126
Q23215,Adele,British singer,125
Q55800,Oprah Winfrey,"American talk show host, actress, producer, and author",125
Q37876,Natalie Portman,Israeli-American actress and filmmaker,125
Q16977,Deng Xiaoping,Chinese politician and paramount leader from 1978 to 1989,125
Q10648,Gordon Brown,Prime Minister of the United Kingdom from 2007 to 2010,125
Q37079,Tom Cruise,American actor and producer,125
Q39792,Jack Nicholson,American actor and filmmaker,125
Q43252,Sophia Loren,Italian actress,125
Q13133,Michelle Obama,lawyer and former First Lady of the United States,125
Q34460,Gwyneth Paltrow,"American actress, entrepreneur, writer and singer",125
Q8873,Satyajit Ray,Indian filmmaker,125
Q6107,Tupac Shakur,American rapper,125
Q873,Meryl Streep,American actress,124
Q106529,Alain Delon,French actor and producer,124
Q57371,Ilham Aliyev,President of Azerbaijan since 2003,123
Q202765,Kate Winslet,English actress,123
Q66107,Henry Kissinger,"German-American diplomat, former United States Secretary of State",123
Q503706,Chris Pratt,American actor,123
Q488006,Anatoliy Solovyanenko,Ukrainian singer,123
Q72334,Toni Morrison,"American novelist, essayist and academic",123
Q37979,Akihito,Emperor of Japan from 1989 to 2019,123
Q8446,Kurt Cobain,American rock musician,123
Q41173,Demi Lovato,American singer and actress,123
Q40523,Julia Roberts,American actress,123
Q80976,"Prince Philip, Duke of Edinburgh",consort of Elizabeth II from 1952 to 2021,123
Q41594,Christina Aguilera,American singer,122
Q42410,Evo Morales,President of Bolivia from 2006 to 2019,122
Q38823,Ruhollah Khomeini,Iranian politician and religious leader,122
Q38049,Herta Müller,"German-Romanian novelist, poet and essayist",122
Q23844,George Clooney,American actor and filmmaker,122
Q42,Douglas Adams,English author and humourist,122
Q39464,Pol Pot,former General Secretary of the Communist Party of Kampuchea,122
Q57410,Shimon Peres,Israeli politician who served as Prime Minister and then President of Israel,122
Q108153171,Joao Grimaldo,Peruvian footballer,122
Q37278,John Paul I,Pope of the Catholic Church in 1978,122
Q348144,Hassan Rouhani,Former President of Iran,122
Q40026,Sylvester Stallone,American actor and film director,121
Q142794,Neymar,Brazilian association football player,121
Q47243,Elfriede Jelinek,Austrian writer,121
Q40504,Jim Carrey,Canadian comedian and actor,121
Q42493,Katy Perry,"American singer, songwriter, actress and television personality",121
Q58077,Petro Poroshenko,President of Ukraine from 2014 to 2019,121
Q15897,Amy Winehouse,British singer and songwriter,121
Q44272,Michel Foucault,French philosopher,121
Q37001,Toshirō Mifune,Japanese actor,121
Q129817,Russell Crowe,New Zealand-born actor,121
Q44306,Salman Rushdie,Indian-born British-American novelist,120
Q3772,Quentin Tarantino,"American film director, screenwriter, producer, and actor",120
Q2530,Gerhard Schröder,chancellor of Germany from 1998 to 2005,120
Q311440,António Guterres,Secretary-General of the United Nations since 2017,120
Q440,Salvador Allende,28th president of Chile,120
Q20110,Francesco Totti,Italian association football player,120
Q47087,Arthur C. Clarke,"British science fiction writer, inventor, and futurist",120
Q134798,Haruki Murakami,Japanese writer,120
Q862,Joseph Brodsky,Russian-American poet,120
Q102124,Sigourney Weaver,American actress,120
Q234819,Alice Munro,Canadian writer,120
Q39524,Gamal Abdel Nasser,President of Egypt from 1956 to 1970,120
Q47480,Paul Dirac,British theoretical physicist,120
Q19943,Juan Carlos I of Spain,King of Spain from 1975 to 2014,120
Q40791,Sandra Bullock,American actress and producer,120
Q72984,Bing Crosby,American singer and actor,119
Q17163,Johan Cruyff,Dutch footballer and manager,119
Q48337,Morgan Freeman,"American actor, director, and narrator",119
Q2643,George Harrison,British musician and lead guitarist of the Beatles,119
Q23891,Andrew Garfield,British-American actor,119
Q15029,Hu Jintao,General Secretary of the Chinese Communist Party from 2002 to 2012,119
Q9535,Shah Rukh Khan,"Indian actor, producer and television personality",119
Q1267,Dag Hammarskjöld,"Swedish diplomat, economist, and author",119
Q42013,Anwar Sadat,President of Egypt from 1970 to 1981,119
Q81244,Karl Popper,"Austrian-British philosopher of science and social and political philosopher noted for falsificationism and for criticism of Plato, Hegel and Marx as totalitarian opponents of open society",119
Q368,Augusto Pinochet,dictator of Chile from 1973 to 1990,118
Q132524,Ayn Rand,Russian-born American writer and public philosopher,118
Q47619,Nadine Gordimer,South African writer,118
Q43247,Ingrid Bergman,Swedish actress,118
Q80966,Cate Blanchett,Australian actor,118
Q45970,Czesław Miłosz,"Polish poet, diplomat, prosaist, writer, and translator. Nobel Prize winner",118
Q19794,Josh Duhamel,American actor,117
Q23466,Chris Pine,American actor,117
Q39803,Mario Vargas Llosa,Peruvian novelist and writer,117
Q132537,Robert Oppenheimer,"American theoretical physicist, known as ""father of the atomic bomb""",117
Q56016,Katharine Hepburn,American actress,117
Q32522,Jennifer Aniston,American actress,117
Q40649,Cristina Fernández de Kirchner,"President of Argentina from 2007-2015, Vice President of Argentina since 2019",117
Q529207,Ronaldo,Brazilian footballer,117
Q41076,Mariah Carey,American singer and songwriter,116
Q40640,Ray Bradbury,American author and screenwriter,116
Q188500,Elisha Cuthbert,Canadian actress,116
Q28614,Garry Kasparov,Russian chess grandmaster and activist,116
Q181383,Mahathir Mohamad,"Prime Minister of Malaysia, 1981–2003 and 2018–2020",116
Q44371,Valentina Tereshkova,"Russian cosmonaut and pilot, first woman to have flown in space",116
Q10514,Fernando Alonso,Spanish racing driver,116
Q41921,Rosa Parks,African-American civil rights activist,116
Q46739,Octavio Paz,"Mexican writer, poet and diplomat",116
Q2514,Willy Brandt,"chancellor of West Germany, SPD",116
Q60206,Ariel Sharon,Prime Minister of Israel from 2001 to 2006,116
Q42747,Heinrich Böll,German writer,115
Q9570,Amitabh Bachchan,Indian actor,115
Q43416,Keanu Reeves,Canadian actor,115
Q13424289,Edward Snowden,American whistleblower and former NSA contractor,115
Q46896,Zlatan Ibrahimović,Swedish association football player,115
Q159577,Jet Li,Chinese-Singaporean martial artist and actor,115
Q42552,Wisława Szymborska,"Polish poet, Nobel Prize winner",115
Q23880,Lila Downsgil,Mexican American singer-songwriter,115
Q60025,Hannah Arendt,German-American political theorist and philosopher,115
Q1459658,Viktor Yanukovych,"Ukrainian politician and the 4th President of Ukraine, ousted from office during the Revolution of Dignity in 2014",115
Q83059,Saul Bellow,Canadian-American writer,115
Q2680,Bruce Willis,American actor,115
Q512,Vladimir Vysotsky,Soviet singer-songwriter and actor,114
Q37628,Mila Kunis,Ukrainian-American actress,114
Q17455,John von Neumann,Hungarian-American mathematician and polymath,114
Q274334,Svetlana Aleksievich,Belarusian investigative journalist and non-fiction prose writer,114
Q12003,Cher,"American singer, actress and television personality",114
Q2124,Valéry Giscard d'Estaing,French official and politician,114
Q39666,Penélope Cruz,Spanish actress,114
Q38257,Enya,Irish singer,114
Q61053,Olaf Scholz,German politician and 9th Federal Chancellor of Germany,114
Q41617,Liu Xiaobo,"Chinese literary critic, writer, professor, and human rights activist",114
Q42398,Mikhail Sholokhov,Soviet writer,114
Q24313,Mike Pence,vice president of the United States from 2017 to 2021,114
Q4631,Mohamed Morsi,President of Egypt from 2012 to 2013,114
Q1375057,Kendall Jenner,American media personality and model,114
Q57336,Ali Khamenei,Supreme Leader of Iran since 1989,114
Q23760,Rowan Atkinson,"English actor, comedian, and screenwriter",113
Q43179,Ellen Johnson Sirleaf,24th president of Liberia,113
Q37615,Luciano Pavarotti,Italian operatic tenor,113
Q42574,James Cameron,Canadian filmmaker,113
Q2252,Buzz Aldrin,American astronaut,113
Q155979,Alexei Navalny,Russian opposition leader and political prisoner,113
Q80938,John Travolta,American actor,113
Q272201,Liz Truss,Prime Minister of the United Kingdom from September to October 2022,113
Q10819,Mariano Rajoy,"Spanish politician, prime Minister of Spain between 2011 and 2018",113
Q3956186,Sergio Mattarella,President of Italy since 2015,113
Q49074,Kurt Vonnegut,American writer,113
Q55767,Astrid Lindgren,Swedish writer of fiction and screenplays,113
Q23359,Taylor Lautner,American actor,113
Q320,Michelle Bachelet,president of Chile,113
Q43293,J. M. Coetzee,South African and Australian writer and scholar,112
Q11459,Serena Williams,American tennis player,112
Q3925,Grace Kelly,American actress and Princess consort of Monaco,112
Q42775,Johnny Cash,American singer-songwriter,112
Q2757,Lech Kaczyński,"Polish politician, democratic oppositionist, ministry of justice, president of Poland",112
Q41314,Bobby Fischer,American chess player,112
Q44183,William Golding,"British novelist, poet, playwright and Nobel Prize for Literature laureate",112
Q12927,Marine Le Pen,French politician,112
Q43067,Heinrich Himmler,German Nazi politician; leader of the German SS and main architect of the Holocaust,112
Q76127,Sukarno,1st President of the Republic of Indonesia from 1945 to 1967,112
Q11998,Kylie Minogue,Australian singer and actress,111
Q42229,Mel Gibson,American actor and filmmaker,111
Q48983,Linus Pauling,American scientist,111
Q40495,Pervez Musharraf,leader of Pakistan from 1999 to 2008,111
Q189490,Jennifer Lawrence,American actress and producer,111
Q43033,Desmond Tutu,"South African churchman, politician, archbishop, Nobel Prize winner",111
Q272855,Kazuo Ishiguro,British novelist,111
Q65932,Anthony Hopkins,Welsh actor and director,111
Q75612,Isaac Bashevis Singer,Polish-American author,111
Q46809,Raúl Castro,former First Secretary of the Communist Party of Cuba,111
Q58132,Nicolás Maduro,President of Venezuela since 2013,111
Q1033016,Halle Berry,American actress,111
Q46795,Wangari Muta Maathai,Kenyan environmentalist and politician who won the Nobel Peace Prize in 2004,111
Q47059,Aishwarya Rai Bachchan,Indian actress,111
Q457786,Rodrigo Duterte,President of the Philippines from 2016 to 2022,111
Q42852,Abdullah Gül,11th President of Turkey,111
Q284636,Jason Bateman,American actor,111
Q131248,Lee Kuan Yew,1st Prime Minister of Singapore,110
Q42869,Nicolas Cage,American actor,110
Q41351,Jodie Foster,American actress and filmmaker,110
Q40531,John Wayne,American actor,110
Q80064,Elias Canetti,"Bulgarian-born Swiss and British jewish modernist novelist, playwright, memoirist, and non-fiction writer",110
Q41042,Harold Pinter,English playwright,110
Q2632,Ringo Starr,"British musician, drummer for the Beatles",110
Q79904,J. D. Salinger,American author,110
Q57394,Nursultan Nazarbayev,President of Kazakhstan from 1990 to 2019,110
Q2023710,Tom Holland,British actor,110
Q191045,Felipe VI of Spain,King of Spain since 2014,110
Q1220,Giorgio Napolitano,President of Italy from 2006 to 2015,109
Q44077,Jessica Alba,"American actress, model and businesswoman",109
Q180795,Mohammad Khatami,5th President of Iran,109
Q80504,Nicolae Ceaușescu,Romanian communist leader from 1965 to 1989,109
Q3318231,Joko Widodo,President of Indonesia since 2014,109
Q25369,Kobe Bryant,American basketball player,109
Q80046,Charlize Theron,South African and American actress and producer,109
Q44980,Alex Ferguson,Scottish association football manager and player,108
Q93166,Milan Kundera,Franco-Czech poet and novelist,108
Q11666,Maria Sharapova,Russian tennis player,108
Q38119,Daniel Radcliffe,British actor,108
Q44593,V. S. Naipaul,Trinidadian-British writer,108
Q8998,Mo Yan,Chinese novelist,108
Q44071,Yuri Andropov,General Secretary of the Communist Party of the Soviet Union,108
Q108941,Carrie Fisher,American actress and writer,108
Q125121,Aretha Franklin,"American singer, songwriter, and pianist",108
Q765,Dario Fo,"Italian actor, playwright, comedian, singer-songwriter, theater director, painter, and political activist",107
Q42101,Denzel Washington,"American actor, director and producer",107
Q238464,Simon Pegg,English actor,107
Q180338,Christopher Lee,English actor and singer,107
Q233984,Tsai Ing-wen,President of Taiwan and former Chairperson of the Democratic Progressive Party,107
Q131814,Tina Turner,American-born singer,107
Q2448709,Benedicta Boccoli,Italian theater and movie actress,107
Q80069,Megan Fox,American actress and model,107
Q76658,Frank-Walter Steinmeier,president of Germany,107
Q41142,Jane Fonda,American actress and activist,107
Q127330,Frank Zappa,American musician,107
Q41914,Manmohan Singh,Prime Minister of India from 2004 to 2014,107
Q39444,Ronaldinho,Brazilian footballer,107
Q175535,Matt Damon,"American actor, screenwriter, and producer",107
Q80596,Arthur Miller,American playwright and essayist,107
Q37571,Jackson Pollock,American artist,107
Q41390,Kurt Gödel,"Austrian-American logician, mathematician, and philosopher of mathematics",107
Q5443,Greta Garbo,Swedish-American actress,106
Q34060,Yizhak Rabin,"Israeli politician, statesman and general",106
Q44819,Suharto,2nd President of Indonesia,106
Q997,Andrei Sakharov,Soviet nuclear physicist and human rights activist,106
Q181677,George R. R. Martin,American writer and television producer,106
Q102139,Margrethe II of Denmark,Queen of Denmark since 1972,106
Q22316,John Kerry,American politician and diplomat,106
Q3176299,Kolinda Grabar-Kitarović,Croatian politician and diplomat,106
Q123351,Michael Caine,English actor,106
Q162202,Nicki Minaj,"Trinidadian-born rapper, singer and actress",106
Q43432,Justin Timberlake,American singer and actor,106
Q11930,Kevin Costner,American actor and filmmaker,106
Q81328,Harrison Ford,American actor,106
Q48283,Yulia Tymoshenko,"Ukrainian politician , former Prime Minister",106
Q40572,Heath Ledger,Australian actor,106
Q43969,Muhammad Yunus,"Bangladeshi banker, economist and Nobel Peace Prize recipient",106
Q42930,Dustin Hoffman,American actor and filmmaker,106
Q51552,Roman Polanski,"French-Polish director, screenwriter, producer and actor",106
Q41148,Martin Scorsese,"American film director, screenwriter and producer",105
Q43944,Hamid Karzai,President of Afghanistan from 2001 to 2014,105
Q131152,Shirin Ebadi,"Iranian lawyer, human rights activist, and Nobel Peace Prize recipient",105
Q47216,Condoleezza Rice,American Republican politician; U.S. Secretary of State; political scientist,105
Q206,Stephen Harper,22nd prime minister of Canada from 2006 to 2015,105
Q44380,Cameron Diaz,American actress and model,105
Q21621995,Kylian Mbappé,French association football player,105
Q35109,Noemi,"Italian singer, screenwriter and music video director",105
Q29564107,Billie Eilish,American singer-songwriter,105
Q57384,Wernher von Braun,German and later American aerospace engineer and space architect,105
Q34584,Anastacia,American singer,105
Q79983,José Mourinho,Portuguese association football manager and former player,105
Q57298,Abdullah of Saudi Arabia,former King of Saudi Arabia,105
Q80510,Alla Pugacheva,"Soviet-Russian singer, composer and actress",105
Q24829,Orson Welles,American actor and filmmaker,105
Q36812,"William, Prince of Wales",heir apparent to the throne of the United Kingdom & 14 Commonwealth Realms,105
Q47899,Paris Hilton,American media personality and socialite,105
Q2516,Helmut Schmidt,"chancellor of West Germany, SPD",105
Q432473,Melania Trump,"First Lady of the United States, model, and businesswoman",104
Q65989,Wolfgang Pauli,"physicist, Nobel prize winner",104
Q106255,Jean-Paul Belmondo,French actor,104
Q6060,50 Cent,American rapper and actor,104
Q18143,Gao Xingjian,Chinese novelist and playwright,104
Q483837,Luka Modrić,Croatian footballer,104
Q36301,Anne Hathaway,American actress,104
Q48231,Idi Amin,President of Uganda from 1971 to 1979,104
Q2808,Elton John,English singer and pianist,104
Q41563,Julia Gillard,Prime Minister of Australia from 2010 to 2013,104
Q57641,Viktor Orbán,Prime Minister of Hungary,104
Q57464,Abdullah II of Jordan,King of the Hashemite Kingdom of Jordan,104
Q122465,Yoshihide Suga,Prime Minister of Japan from 2020 to 2021,104
Q41488,Wole Soyinka,Nobel laureate Nigerian writer,104
Q9151911,Andrzej Duda,"Polish lawyer and politician, President of Poland",104
Q43874,Eddie Murphy,American stand-up comedian and actor,104
Q10490,Ayrton Senna,Brazilian racing driver,103
Q1912,Karim Benzema,French association football player,103
Q128736,John Forbes Nash,American mathematician and economist,103
Q165219,Robert Downey Jr.,American actor,103
